seed,j_star_C_before,j_star_C_after,same_candidate,r_DC_cosine_similarity_before_after,baseline_after_gamma_D_C,clean_calibrated_gamma_D_C,oracle_after_gamma_D_C,oracle_reduction,clean_calibrated_reduction,clean_calibration_recovery_fraction
42,ZIIX,ZIYZ,False,0.0476880322940242,2.3074762710487478,2.307380013588419,2.2263177752882077,0.08115849576054002,9.625746032870808e-05,0.0011860429327413596
43,IYYY,YIIZ,False,0.05457204915115939,2.3877010589185987,2.385626102972732,2.28494872189511,0.10275233702348885,0.0020749559458668188,0.020193759149171375
44,XZYI,ZZYX,False,-0.08937527715992256,2.2224064729116075,2.217772407676824,2.130149200936429,0.09225727197517841,0.004634065234783602,0.050229809917102096
45,ZZYX,IIXZ,False,-0.023707838640183717,2.338018851701163,2.335675540188447,2.2647301767148336,0.0732886749863293,0.002343311512715829,0.03197371917493299
46,XIZX,XYYZ,False,-0.03247328865901944,1.9437053024339674,1.9339964892335926,1.8762623402793086,0.06744296215465884,0.009708813200374866,0.1439559131182704
47,ZZYX,YYZZ,False,-0.04318877002267861,2.249639930120594,2.248949993261033,2.161084064911287,0.08855586520930725,0.00068993685956098,0.007790978699494062
48,XZIY,ZZZY,False,-0.0629544882422998,2.230988486444725,2.220501552148242,2.1563247948367112,0.07466369160801367,0.010486934296483064,0.14045560928784157
49,YXYX,XYYX,False,5.842351114636652e-05,2.1410621295113232,2.1380439414244123,2.070891048163407,0.07017108134791616,0.0030181880869109,0.04301185087837513
50,XYIY,XYXZ,False,0.17987212523351195,2.273706498646355,2.2736487728514274,2.2115769352285923,0.06212956341776277,5.77257949276877e-05,0.0009291195970513446
51,ZIZX,ZYXZ,False,0.09337391202917175,1.8245663422567102,1.7915350996696382,1.7482211382805208,0.07634520397618938,0.03303124258707202,0.43265641935246957
