seed,n_calib,tau_gate,null_mean,null_max
42,30,7.116327213012095,6.472166299324411,7.160348097411492
43,30,6.987374967035163,6.366983963148243,7.647668473720856
44,30,7.11327452345095,6.30355516310993,7.2818701690631515
45,30,7.174284179897388,6.564374904926649,7.290683927856096
46,30,6.991877612228374,6.235176484252402,7.473899396670759
47,30,6.822855104284435,5.960509615987979,6.99189088435366
48,30,6.975657925629117,6.409068714074341,7.163257469830766
49,30,6.64895654383441,6.057040720012288,6.953183875351675
50,30,6.850498100956738,6.290665780496252,6.917800402168113
51,30,6.63855461211837,5.977167608010336,7.29963757423527
