state_id,dataset,seed,stage,a,d,n_params,final_ca,saved_final_ca,ca_match,rho_match_max_abs_err,gamma_D,gamma_D_oracle_crosscheck,gamma_D_crosscheck_err,gamma_D_C,R_manifold,tangent_rank,null_dim,train_time_s
mnist_seed42_before,mnist,42,before,2,4,120,1.0,1.0,True,5.551213720759427e-17,1.7285380241858253,1.7285380241858253,0.0,1.7285380241858248,0.9999999999999998,15,12,431.7427308559418
mnist_seed42_after,mnist,42,after,2,4,120,1.0,1.0,True,2.7791086985291025e-17,2.021441653103233,2.021441653103233,0.0,2.0214416531032335,1.0000000000000002,15,12,431.7427308559418
mnist_seed43_before,mnist,43,before,2,4,120,1.0,1.0,True,2.797157557069881e-17,1.3611236913592932,1.3611236913592935,2.220446049250313e-16,1.3611236913592932,1.0,15,12,404.7119448184967
mnist_seed43_after,mnist,43,after,2,4,120,1.0,1.0,True,5.551115123125783e-17,1.3354636984166122,1.3354636984166124,2.220446049250313e-16,1.3354636984166122,1.0,15,12,404.7119448184967
mnist_seed44_before,mnist,44,before,2,4,120,1.0,1.0,True,1.110600343317923e-16,1.5263155949029528,1.5263155949029528,0.0,1.5263155949029525,0.9999999999999999,15,12,322.6131296157837
mnist_seed44_after,mnist,44,after,2,4,120,1.0,1.0,True,2.7755575615628914e-17,1.9354993085140528,1.9354993085140528,0.0,1.9354993085140522,0.9999999999999997,15,12,322.6131296157837
mnist_seed45_before,mnist,45,before,2,4,120,1.0,1.0,True,5.560196136384586e-17,1.112674274380209,1.112674274380209,0.0,1.1126742743802094,1.0000000000000004,15,12,268.90053129196167
mnist_seed45_after,mnist,45,after,2,4,120,1.0,1.0,True,5.55208643042394e-17,1.2807106152963503,1.28071061529635,2.220446049250313e-16,1.2807106152963503,1.0,15,12,268.90053129196167
mnist_seed46_before,mnist,46,before,2,4,120,1.0,1.0,True,2.775781347363301e-17,1.108097776630898,1.108097776630898,0.0,1.1080977766308977,0.9999999999999998,15,12,268.13531732559204
mnist_seed46_after,mnist,46,after,2,4,120,1.0,1.0,True,2.7755575615628914e-17,1.8506289594664633,1.850628959466463,2.220446049250313e-16,1.8506289594664638,1.0000000000000002,15,12,268.13531732559204
bloodmnist_seed42_before,bloodmnist,42,before,4,16,128,0.9463090002536774,0.9463090002536774,True,2.776540046361478e-17,6.864029774423475,6.864029774423475,0.0,2.5592616572584364,0.37285118820356433,125,110,732.1129803657532
bloodmnist_seed42_after,bloodmnist,42,after,4,16,128,0.9463090002536774,0.9463090002536774,True,2.77556062428585e-17,6.808946755229214,6.808946755229214,0.0,2.3074762710487478,0.338888869894103,125,110,732.1129803657532
bloodmnist_seed43_before,bloodmnist,43,before,4,16,128,0.9415217041969299,0.9415217041969299,True,2.77566564193631e-17,6.280799101063538,6.280799101063538,0.0,2.4673045443321975,0.39283290304802215,125,110,721.5398623943329
bloodmnist_seed43_after,bloodmnist,43,after,4,16,128,0.9415217041969299,0.9415217041969299,True,2.775558371463587e-17,7.432692577025863,7.432692577025862,8.881784197001252e-16,2.387701058918599,0.3212430803742485,125,110,721.5398623943329
bloodmnist_seed44_before,bloodmnist,44,before,4,16,128,0.941068708896637,0.941068708896637,True,1.3889191868986695e-17,7.9868795545157045,7.9868795545157045,0.0,2.2902949979183695,0.28675717247087557,125,110,711.2005467414856
bloodmnist_seed44_after,bloodmnist,44,after,4,16,128,0.941068708896637,0.941068708896637,True,2.776450478739949e-17,6.655209115135839,6.65520911513584,8.881784197001252e-16,2.222406472911607,0.33393488235511976,125,110,711.2005467414856
bloodmnist_seed45_before,bloodmnist,45,before,4,16,128,0.9426578283309937,0.9426578283309937,True,2.775685027400199e-17,6.861010552812238,6.861010552812238,0.0,2.4896970894148818,0.36287614925681577,125,110,705.6547236442566
bloodmnist_seed45_after,bloodmnist,45,after,4,16,128,0.9426578283309937,0.9426578283309937,True,1.38981344001808e-17,7.793383788165307,7.793383788165307,0.0,2.338018851701163,0.30000047671867214,125,110,705.6547236442566
bloodmnist_seed46_before,bloodmnist,46,before,4,16,128,0.9387964606285095,0.9387964606285095,True,2.777761747229296e-17,9.021726585870937,9.021726585870935,1.7763568394002505e-15,2.1401805752864025,0.2372251647082912,125,110,734.5444087982178
bloodmnist_seed46_after,bloodmnist,46,after,4,16,128,0.9387964606285095,0.9387964606285095,True,2.775846025881999e-17,7.598939476956218,7.598939476956218,0.0,1.943705302433968,0.2557863907625865,125,110,734.5444087982178
