state_id,seed,stage,gamma_D_C_before_mean,gamma_D_C_before_worst,j_ambient,j_robust_avg,j_robust_worst,robust_avg_eq_ambient,robust_worst_eq_ambient,robust_avg_eq_worst,gamma_D_C_after_ambient_mean,gamma_D_C_after_ambient_worst,gamma_D_C_after_robust_avg_mean,gamma_D_C_after_robust_avg_worst,gamma_D_C_after_robust_worst_mean,gamma_D_C_after_robust_worst_worst
bloodmnist_seed42_before,42,before,2.2978362353380097,2.5592616572584364,IXZI,YYIZ,YZZY,False,False,False,2.2804864849588573,2.514921512386973,2.259243606574534,2.504571779081024,2.273209374661366,2.538538384875362
bloodmnist_seed42_after,42,after,2.254254888385406,2.475242321963596,ZYXY,YYIZ,XYYY,False,False,False,2.250821701330343,2.474849533755095,2.216169717901849,2.3541603127751363,2.2159606573050374,2.4298011409610623
bloodmnist_seed43_before,43,before,2.3051524647779793,2.489434090154003,ZYYI,ZIYX,YZYX,False,False,False,2.29318345238445,2.473163184816819,2.2712319793924918,2.4634441900508377,2.2917997855858356,2.4784293771801194
bloodmnist_seed43_after,43,after,2.348366398233801,2.51217039280693,ZYZZ,ZYZY,YIXZ,False,False,False,2.3385349015501604,2.5004596532124888,2.313800664180093,2.398391875800676,2.3244585131286004,2.497552478518676
bloodmnist_seed44_before,44,before,2.2201559953839984,2.294373544347011,XIYX,ZYZX,YYZZ,False,False,False,2.2143619410751394,2.2887295454608663,2.180447214164373,2.2940937593863686,2.190797572377218,2.2693468522831903
bloodmnist_seed44_after,44,after,2.1682273188813803,2.232519530625235,IZXI,XZYY,XIXZ,False,False,False,2.154963456859334,2.23096955727395,2.1305488533610024,2.1716918075960896,2.132281755792624,2.20668352595993
bloodmnist_seed45_before,45,before,2.30075337286191,2.4896970894148818,YZXZ,YYXI,YYXI,False,False,True,2.295893248165954,2.4751493425657936,2.2531968230737816,2.4135587560530545,2.2531968230737816,2.4135587560530545
bloodmnist_seed45_after,45,after,2.151398755877337,2.338018851701163,ZYYY,YXZY,IYYI,False,False,False,2.1446620859583385,2.3376815944069524,2.119326171780961,2.330200601391911,2.1358483361195377,2.315957969967111
bloodmnist_seed46_before,46,before,2.1642317453106217,2.3091964215909497,XYYZ,ZYZI,IYZZ,False,False,False,2.153087534132223,2.308393442871376,2.1333377684316437,2.2887729140571045,2.1415442290279536,2.2976262971054813
bloodmnist_seed46_after,46,after,2.2131153571497975,2.5366159667496033,XYYZ,XYYZ,XIYI,True,False,False,2.17969972798948,2.513583590369674,2.17969972798948,2.513583590369674,2.189053537474121,2.51381080942646
