seed,stage,n_a,d,ambient_dim,n_params,final_energy,gamma_D,gamma_D_C,R_manifold,tangent_rank,null_dim,params_lt_ambient
0,midtrain,3,8,63,72,0.3697479281507163,7.485136903485115,7.485136903485115,1.0,63,56,False
0,midtrain,4,16,255,72,0.3697479281507163,50.841837736226914,2.957823435672155,0.05817695754857782,71,56,True
0,cluster,3,8,63,72,3.8228538584734056e-05,18.422667615532635,18.422667613864697,0.9999999999094626,47,40,False
0,cluster,4,16,255,72,3.8228538584734056e-05,45.33728738675139,11.577604292510834,0.2553660565032852,67,52,True
1,midtrain,3,8,63,72,0.09419337503192526,8.227917840208923,8.22791784020892,0.9999999999999998,63,56,False
1,midtrain,4,16,255,72,0.09419337503192526,49.96817038973095,2.9849375067256085,0.059736778101826364,71,56,True
1,cluster,3,8,63,72,3.0399029353964975e-06,21.499542900679607,18.280942258867533,0.850294461762239,57,50,False
1,cluster,4,16,255,72,3.0399029353964975e-06,43.89796439099087,13.488797614125208,0.30727615280706494,69,54,True
2,midtrain,3,8,63,72,0.08166693011231374,11.609513027790927,11.609513027790925,0.9999999999999999,63,56,False
2,midtrain,4,16,255,72,0.08166693011231374,49.77833398886706,3.2984026362190986,0.06626181255798531,71,56,True
2,cluster,3,8,63,72,1.0171401429408541e-05,23.666510395483474,19.435125626391454,0.8212079136981877,55,48,False
2,cluster,4,16,255,72,1.0171401429408541e-05,43.68578212890073,12.295912059310503,0.2814625596728421,67,52,True
3,midtrain,3,8,63,72,0.7305123604402071,6.47140992893445,6.47140992893445,1.0,63,56,False
3,midtrain,4,16,255,72,0.7305123604402071,51.80619836886327,1.2335794874708421,0.02381142655339582,71,56,True
3,cluster,3,8,63,72,2.188047337804874e-09,33.18667885857377,27.069702229186582,0.8156797594765386,48,41,False
3,cluster,4,16,255,72,2.188047337804874e-09,41.92076999550388,14.786917557558658,0.3527348748399563,62,47,True
4,midtrain,3,8,63,72,0.8435260445741881,5.802172695253104,5.802172695253104,1.0,63,56,False
4,midtrain,4,16,255,72,0.8435260445741881,50.710918652013284,1.6889185767706865,0.033304831023873285,71,56,True
4,cluster,3,8,63,72,3.23006018704037e-08,36.03888375711125,19.94744793832174,0.553497940523357,36,29,False
4,cluster,4,16,255,72,3.23006018704037e-08,41.881875843570654,17.03343748317163,0.40670187617172976,60,45,True
5,midtrain,3,8,63,72,0.8539225073986889,7.210162284217615,7.210162284217613,0.9999999999999998,63,56,False
5,midtrain,4,16,255,72,0.8539225073986889,50.89688119855355,1.825183950542323,0.03586042813551007,71,56,True
5,cluster,3,8,63,72,1.5623048556673993e-08,27.355235909121955,25.417957448956344,0.929180707247361,56,49,False
5,cluster,4,16,255,72,1.5623048556673993e-08,42.06725640222297,4.496631365811106,0.10689148165064288,65,50,True
6,midtrain,3,8,63,72,0.7164581464128885,6.749573995743741,6.749573995743741,1.0,63,56,False
6,midtrain,4,16,255,72,0.7164581464128885,51.29934557542685,1.740406634523613,0.03392648804777919,71,56,True
6,cluster,3,8,63,72,1.2488030965096514e-05,18.929861649959587,18.929861649959584,0.9999999999999998,63,56,False
6,cluster,4,16,255,72,1.2488030965096514e-05,44.84581054934594,11.240355093089006,0.2506444850789511,71,56,True
7,midtrain,3,8,63,72,0.6521987487340796,7.3837849519833565,7.383784951983356,0.9999999999999999,63,56,False
7,midtrain,4,16,255,72,0.6521987487340796,50.47710688727833,1.5852814231196275,0.031405948575059156,71,56,True
7,cluster,3,8,63,72,1.0671656026138643e-08,27.68900706337691,25.202473018288686,0.9101977893466228,54,47,False
7,cluster,4,16,255,72,1.0671656026138643e-08,41.99320973358236,3.157621596249172,0.07519362335677791,64,49,True
8,midtrain,3,8,63,72,0.48757508667324523,7.4626525733668165,7.462652573366817,1.0000000000000002,63,56,False
8,midtrain,4,16,255,72,0.48757508667324523,51.63790387596573,1.518443495641709,0.02940559902061499,71,56,True
8,cluster,3,8,63,72,1.985874744923671e-07,26.013098954861753,23.102942208555636,0.8881272565273419,50,43,False
8,cluster,4,16,255,72,1.985874744923671e-07,42.89562128924132,14.8129543021712,0.3453255567109934,65,50,True
9,midtrain,3,8,63,72,0.4558228006707347,6.561138302433138,6.5611383024331404,1.0000000000000004,63,56,False
9,midtrain,4,16,255,72,0.4558228006707347,50.114499875909154,2.0871310506649454,0.04164724891664065,71,56,True
9,cluster,3,8,63,72,4.526385561344828e-07,23.32679760636678,23.32679743194711,0.9999999925227768,49,42,False
9,cluster,4,16,255,72,4.526385561344828e-07,43.55498833085388,15.715423577717681,0.36081799536575804,64,49,True
