state_id,seed,stage,gamma_D,gamma_D_C,R_manifold,tangent_rank,null_dim,ambient_dim
bloodmnist_seed42_before,42,before,1.5574946474804259,1.5574946474804257,0.9999999999999999,63,56,63
bloodmnist_seed42_after,42,after,1.3573765301810559,1.3573765301810559,1.0,63,56,63
bloodmnist_seed43_before,43,before,1.6395037539708988,1.6395037539708983,0.9999999999999998,63,56,63
bloodmnist_seed43_after,43,after,1.5325415594081242,1.5325415594081242,1.0,63,56,63
bloodmnist_seed44_before,44,before,1.1923601264575339,1.1923601264575339,1.0,63,56,63
bloodmnist_seed44_after,44,after,1.442374170446473,1.442374170446473,1.0,63,56,63
bloodmnist_seed45_before,45,before,1.1455501888963777,1.145550188896378,1.0000000000000002,63,56,63
bloodmnist_seed45_after,45,after,1.2181538629754813,1.2181538629754813,1.0,63,56,63
bloodmnist_seed46_before,46,before,1.3396364123019346,1.3396364123019349,1.0000000000000002,63,56,63
bloodmnist_seed46_after,46,after,1.3011978284175012,1.3011978284175016,1.0000000000000004,63,56,63
