seed,damping_g,zz_scale,condition,label,delta_pilot
42,0.0,,clean,0,6.504406624798589
42,0.0,,clean,0,6.43152298353448
42,0.0,,clean,0,6.960078822276086
42,0.0,,clean,0,5.66134419086602
42,0.0,,clean,0,6.399199600842298
42,0.0,,clean,0,6.586079500724775
42,0.0,,clean,0,6.5179078909899095
42,0.0,,clean,0,7.171345883004842
42,0.0,,clean,0,6.870319492034202
42,0.0,,clean,0,6.032300005415392
42,0.0,,clean,0,5.787443272604487
42,0.0,,clean,0,6.580812078111139
42,0.0,,clean,0,5.954852704323774
42,0.0,,clean,0,6.50260251155678
42,0.0,,clean,0,6.2236527530301515
42,0.0,0.05,zz_scale_0.05,1,6.000964219276955
42,0.0,0.05,zz_scale_0.05,1,6.097492301977925
42,0.0,0.05,zz_scale_0.05,1,6.860668764132428
42,0.0,0.05,zz_scale_0.05,1,6.4147676231930655
42,0.0,0.05,zz_scale_0.05,1,5.982422909676413
42,0.0,0.05,zz_scale_0.05,1,6.869538613245916
42,0.0,0.05,zz_scale_0.05,1,5.834977724763698
42,0.0,0.05,zz_scale_0.05,1,6.113132721315479
42,0.0,0.05,zz_scale_0.05,1,6.880595740503393
42,0.0,0.05,zz_scale_0.05,1,6.847099336000288
42,0.0,0.05,zz_scale_0.05,1,6.969273401987049
42,0.0,0.05,zz_scale_0.05,1,6.020228843467816
42,0.0,0.05,zz_scale_0.05,1,5.873631792755609
42,0.0,0.05,zz_scale_0.05,1,7.123153905391577
42,0.0,0.05,zz_scale_0.05,1,6.576875457671581
42,0.0,0.15,zz_scale_0.15,1,5.907909658883931
42,0.0,0.15,zz_scale_0.15,1,7.111731987519177
42,0.0,0.15,zz_scale_0.15,1,6.486352907751585
42,0.0,0.15,zz_scale_0.15,1,7.284098699341543
42,0.0,0.15,zz_scale_0.15,1,6.924600783316861
42,0.0,0.15,zz_scale_0.15,1,6.079552728292094
42,0.0,0.15,zz_scale_0.15,1,6.907841100700774
42,0.0,0.15,zz_scale_0.15,1,7.156206766739195
42,0.0,0.15,zz_scale_0.15,1,7.20810855631356
42,0.0,0.15,zz_scale_0.15,1,6.654026730509843
42,0.0,0.15,zz_scale_0.15,1,7.465726189000691
42,0.0,0.15,zz_scale_0.15,1,7.359714071095519
42,0.0,0.15,zz_scale_0.15,1,6.556449007454094
42,0.0,0.15,zz_scale_0.15,1,6.727639512235886
42,0.0,0.15,zz_scale_0.15,1,6.76557453368958
42,0.0,0.3,zz_scale_0.3,1,7.673802233058724
42,0.0,0.3,zz_scale_0.3,1,7.678682228239706
42,0.0,0.3,zz_scale_0.3,1,7.934605678434023
42,0.0,0.3,zz_scale_0.3,1,7.892516127484359
42,0.0,0.3,zz_scale_0.3,1,7.835365432981299
42,0.0,0.3,zz_scale_0.3,1,7.628105510473193
42,0.0,0.3,zz_scale_0.3,1,7.594004576852557
42,0.0,0.3,zz_scale_0.3,1,8.335768949921972
42,0.0,0.3,zz_scale_0.3,1,7.682846473523521
42,0.0,0.3,zz_scale_0.3,1,7.631814788122156
42,0.0,0.3,zz_scale_0.3,1,7.279974449045778
42,0.0,0.3,zz_scale_0.3,1,7.845055808221302
42,0.0,0.3,zz_scale_0.3,1,7.997460594379142
42,0.0,0.3,zz_scale_0.3,1,7.352138105794067
42,0.0,0.3,zz_scale_0.3,1,7.721741442673663
42,0.01,,clean,0,6.547035790877431
42,0.01,,clean,0,6.333877871089
42,0.01,,clean,0,5.674438258751084
42,0.01,,clean,0,6.320441761872787
42,0.01,,clean,0,6.283755791683112
42,0.01,,clean,0,6.555013340265435
42,0.01,,clean,0,6.828930202807178
42,0.01,,clean,0,7.120640425484124
42,0.01,,clean,0,6.275251708443792
42,0.01,,clean,0,6.701644986892151
42,0.01,,clean,0,6.4426419466717535
42,0.01,,clean,0,6.53391290347893
42,0.01,,clean,0,6.711449717821266
42,0.01,,clean,0,6.887538142946055
42,0.01,,clean,0,6.544056042222154
42,0.01,0.05,zz_scale_0.05,1,6.630792543465965
42,0.01,0.05,zz_scale_0.05,1,6.573469188987046
42,0.01,0.05,zz_scale_0.05,1,5.831261880847638
42,0.01,0.05,zz_scale_0.05,1,6.11744438639466
42,0.01,0.05,zz_scale_0.05,1,6.754969408700508
42,0.01,0.05,zz_scale_0.05,1,6.328748830161543
42,0.01,0.05,zz_scale_0.05,1,5.757266566314226
42,0.01,0.05,zz_scale_0.05,1,6.753476909305445
42,0.01,0.05,zz_scale_0.05,1,6.2518380161488025
42,0.01,0.05,zz_scale_0.05,1,6.184568606749234
42,0.01,0.05,zz_scale_0.05,1,6.484924404933978
42,0.01,0.05,zz_scale_0.05,1,6.353913496547405
42,0.01,0.05,zz_scale_0.05,1,5.823577890492019
42,0.01,0.05,zz_scale_0.05,1,6.316110068675003
42,0.01,0.05,zz_scale_0.05,1,7.137846021569986
42,0.01,0.15,zz_scale_0.15,1,7.3404175406539744
42,0.01,0.15,zz_scale_0.15,1,5.937785583919592
42,0.01,0.15,zz_scale_0.15,1,6.802480684689841
42,0.01,0.15,zz_scale_0.15,1,6.417068587342226
42,0.01,0.15,zz_scale_0.15,1,6.9620654346728035
42,0.01,0.15,zz_scale_0.15,1,6.411774275054212
42,0.01,0.15,zz_scale_0.15,1,6.361066033885406
42,0.01,0.15,zz_scale_0.15,1,7.002412246042919
