seed,noise_p,zz_scale,condition,label,delta_pilot
42,0.0,,clean,0,4.480060997781801
42,0.0,,clean,0,3.9970091026943018
42,0.0,,clean,0,4.002497487485805
42,0.0,,clean,0,3.655475556062461
42,0.0,,clean,0,3.99125958524864
42,0.0,,clean,0,4.736479516936731
42,0.0,,clean,0,3.8856619637519687
42,0.0,,clean,0,3.5389759189530263
42,0.0,,clean,0,3.617151541495327
42,0.0,,clean,0,3.559227057233153
42,0.0,,clean,0,4.078307819951877
42,0.0,,clean,0,4.078021799257356
42,0.0,,clean,0,3.655942176153658
42,0.0,,clean,0,4.099661499716395
42,0.0,,clean,0,3.4287946831332112
42,0.0,0.05,zz_scale_0.05,1,3.7135547980363253
42,0.0,0.05,zz_scale_0.05,1,3.8953513041951617
42,0.0,0.05,zz_scale_0.05,1,4.573445648329354
42,0.0,0.05,zz_scale_0.05,1,3.7530706597789725
42,0.0,0.05,zz_scale_0.05,1,3.8735104563659895
42,0.0,0.05,zz_scale_0.05,1,3.480877946246805
42,0.0,0.05,zz_scale_0.05,1,4.167578809138726
42,0.0,0.05,zz_scale_0.05,1,3.595754815633622
42,0.0,0.05,zz_scale_0.05,1,3.889909129131995
42,0.0,0.05,zz_scale_0.05,1,4.002734098817429
42,0.0,0.05,zz_scale_0.05,1,4.3676125987246115
42,0.0,0.05,zz_scale_0.05,1,3.7864972493825486
42,0.0,0.05,zz_scale_0.05,1,3.736749920055228
42,0.0,0.05,zz_scale_0.05,1,4.299983557100852
42,0.0,0.05,zz_scale_0.05,1,4.2622620197359495
42,0.0,0.15,zz_scale_0.15,1,3.8640084539356776
42,0.0,0.15,zz_scale_0.15,1,3.9708928564409685
42,0.0,0.15,zz_scale_0.15,1,4.834767914032046
42,0.0,0.15,zz_scale_0.15,1,4.280756225046496
42,0.0,0.15,zz_scale_0.15,1,4.099560396332197
42,0.0,0.15,zz_scale_0.15,1,4.07862624528657
42,0.0,0.15,zz_scale_0.15,1,3.9311860327844492
42,0.0,0.15,zz_scale_0.15,1,4.560808111551899
42,0.0,0.15,zz_scale_0.15,1,4.58251464836754
42,0.0,0.15,zz_scale_0.15,1,3.962013752542584
42,0.0,0.15,zz_scale_0.15,1,3.9990341105310647
42,0.0,0.15,zz_scale_0.15,1,4.586874715386067
42,0.0,0.15,zz_scale_0.15,1,4.82115608348027
42,0.0,0.15,zz_scale_0.15,1,4.525772293141431
42,0.0,0.15,zz_scale_0.15,1,4.368974457374301
42,0.0,0.3,zz_scale_0.3,1,4.75811764187425
42,0.0,0.3,zz_scale_0.3,1,5.769112708564541
42,0.0,0.3,zz_scale_0.3,1,5.356351206499976
42,0.0,0.3,zz_scale_0.3,1,5.133788243035248
42,0.0,0.3,zz_scale_0.3,1,5.305035118430843
42,0.0,0.3,zz_scale_0.3,1,5.260069019520414
42,0.0,0.3,zz_scale_0.3,1,5.65476830829501
42,0.0,0.3,zz_scale_0.3,1,5.717298818669908
42,0.0,0.3,zz_scale_0.3,1,5.125423656595113
42,0.0,0.3,zz_scale_0.3,1,5.409228592198297
42,0.0,0.3,zz_scale_0.3,1,4.856632112760286
42,0.0,0.3,zz_scale_0.3,1,5.114480716819598
42,0.0,0.3,zz_scale_0.3,1,4.471603675169348
42,0.0,0.3,zz_scale_0.3,1,5.190561407594697
42,0.0,0.3,zz_scale_0.3,1,4.894104775091165
42,0.01,,clean,0,3.3410638497866993
42,0.01,,clean,0,4.023030266984542
42,0.01,,clean,0,4.1194804509536285
42,0.01,,clean,0,3.7359370685450006
42,0.01,,clean,0,3.1240775819583497
42,0.01,,clean,0,3.3135137899507745
42,0.01,,clean,0,3.584693692726597
42,0.01,,clean,0,3.9089656836523936
42,0.01,,clean,0,3.911109684421292
42,0.01,,clean,0,4.50904862250728
42,0.01,,clean,0,3.806544894072641
42,0.01,,clean,0,4.430848803777552
42,0.01,,clean,0,4.175726495556426
42,0.01,,clean,0,4.434728449321125
42,0.01,,clean,0,4.098000866541113
42,0.01,0.05,zz_scale_0.05,1,3.4093992965155704
42,0.01,0.05,zz_scale_0.05,1,3.835712880688871
42,0.01,0.05,zz_scale_0.05,1,4.388672990612672
42,0.01,0.05,zz_scale_0.05,1,3.9579393270077445
42,0.01,0.05,zz_scale_0.05,1,3.6358912593387673
42,0.01,0.05,zz_scale_0.05,1,3.628516147805958
42,0.01,0.05,zz_scale_0.05,1,3.6252323542365046
42,0.01,0.05,zz_scale_0.05,1,3.8209035094293484
42,0.01,0.05,zz_scale_0.05,1,4.46931521483459
42,0.01,0.05,zz_scale_0.05,1,3.8441094538124347
42,0.01,0.05,zz_scale_0.05,1,3.582592781380147
42,0.01,0.05,zz_scale_0.05,1,4.02836939102032
42,0.01,0.05,zz_scale_0.05,1,4.021254968843505
42,0.01,0.05,zz_scale_0.05,1,4.211426781902445
42,0.01,0.05,zz_scale_0.05,1,4.018483842049671
42,0.01,0.15,zz_scale_0.15,1,4.468008309729253
