seed,damping_g,condition,label,delta_pilot
42,0.0,clean,0,4.541141953569347
42,0.0,clean,0,3.8140784008563156
42,0.0,clean,0,3.5449729932787744
42,0.0,clean,0,4.170414818558694
42,0.0,clean,0,3.9902387647403406
42,0.0,clean,0,3.694579101238289
42,0.0,clean,0,3.9335050069418376
42,0.0,clean,0,3.8673180425041362
42,0.0,clean,0,3.3822430426376218
42,0.0,clean,0,3.7735543852831337
42,0.0,clean,0,4.284048755054475
42,0.0,clean,0,4.481731961331562
42,0.0,clean,0,3.4117661175489
42,0.0,clean,0,3.576227504364761
42,0.0,clean,0,3.2657439410907205
42,0.0,zz_full,1,6.5443268377016635
42,0.0,zz_full,1,6.0616160353620545
42,0.0,zz_full,1,6.699791968495095
42,0.0,zz_full,1,5.751808682629747
42,0.0,zz_full,1,6.215936427944784
42,0.0,zz_full,1,5.9428094657558885
42,0.0,zz_full,1,6.173055286051517
42,0.0,zz_full,1,6.3092097469708825
42,0.0,zz_full,1,5.953560043633041
42,0.0,zz_full,1,6.091855684505985
42,0.0,zz_full,1,5.94512972439515
42,0.0,zz_full,1,5.9383431992515865
42,0.0,zz_full,1,6.0013240535541605
42,0.0,zz_full,1,5.193347452613215
42,0.0,zz_full,1,6.1479620778949124
42,0.0,z_only,1,6.984374244102788
42,0.0,z_only,1,6.293597168882539
42,0.0,z_only,1,6.536153390566634
42,0.0,z_only,1,6.368202296050999
42,0.0,z_only,1,6.418647760754933
42,0.0,z_only,1,6.433179827546482
42,0.0,z_only,1,5.991376888484458
42,0.0,z_only,1,7.076603248194782
42,0.0,z_only,1,6.6506479731726715
42,0.0,z_only,1,5.532632431412125
42,0.0,z_only,1,5.647028633222643
42,0.0,z_only,1,5.764605817227194
42,0.0,z_only,1,6.768740985071823
42,0.0,z_only,1,6.096373473616071
42,0.0,z_only,1,6.216074872356186
42,0.01,clean,0,4.2636187018589276
42,0.01,clean,0,3.9797912594985503
42,0.01,clean,0,4.043355671593024
42,0.01,clean,0,3.6031486646740802
42,0.01,clean,0,3.446885865018658
42,0.01,clean,0,3.9581269274023456
42,0.01,clean,0,3.881707155829129
42,0.01,clean,0,3.639640658580858
42,0.01,clean,0,3.65465523325221
42,0.01,clean,0,3.807259321944667
42,0.01,clean,0,4.223577372823851
42,0.01,clean,0,3.806079349266859
42,0.01,clean,0,3.6485406688956123
42,0.01,clean,0,3.6734697961885914
42,0.01,clean,0,3.940449212080328
42,0.01,zz_full,1,5.518469419635357
42,0.01,zz_full,1,6.454846025833127
42,0.01,zz_full,1,6.126241262483437
42,0.01,zz_full,1,6.087389121938867
42,0.01,zz_full,1,6.210821274275661
