seed,noise_p,condition,label,delta_pilot
42,0.0,clean,0,4.160246992808417
42,0.0,clean,0,4.150392856397032
42,0.0,clean,0,3.7420256098041498
42,0.0,clean,0,3.7641286380737156
42,0.0,clean,0,4.295190731496759
42,0.0,clean,0,3.775542354892848
42,0.0,clean,0,3.858368232289585
42,0.0,clean,0,3.485797868070522
42,0.0,clean,0,3.99291583401968
42,0.0,clean,0,4.119789901502212
42,0.0,clean,0,3.921590303915644
42,0.0,clean,0,3.8809911568469975
42,0.0,clean,0,4.195205909087269
42,0.0,clean,0,3.5563583543059347
42,0.0,clean,0,3.8009040680118966
42,0.0,zz_full,1,6.186515836508458
42,0.0,zz_full,1,5.8367151836195665
42,0.0,zz_full,1,6.11684978105142
42,0.0,zz_full,1,6.249351984271538
42,0.0,zz_full,1,6.399768279607257
42,0.0,zz_full,1,5.413744716764175
42,0.0,zz_full,1,6.164810836385766
42,0.0,zz_full,1,5.889910600380756
42,0.0,zz_full,1,5.575636266980183
42,0.0,zz_full,1,5.7151912699432135
42,0.0,zz_full,1,6.33886495490281
42,0.0,zz_full,1,6.023098975517269
42,0.0,zz_full,1,5.986636742985076
42,0.0,zz_full,1,6.2728830669532085
42,0.0,zz_full,1,6.160809887982352
42,0.0,z_only,1,6.477564183791242
42,0.0,z_only,1,6.619061879308247
42,0.0,z_only,1,6.79954245877483
42,0.0,z_only,1,6.5493765680014935
42,0.0,z_only,1,6.495866661496128
42,0.0,z_only,1,6.2967829631595365
42,0.0,z_only,1,6.590396162095725
42,0.0,z_only,1,6.394419992804357
42,0.0,z_only,1,6.268125143065854
42,0.0,z_only,1,6.759755204215157
42,0.0,z_only,1,6.988888947027888
42,0.0,z_only,1,6.571701297896369
42,0.0,z_only,1,5.923590294664652
42,0.0,z_only,1,6.602469519273224
42,0.0,z_only,1,6.602219935414667
42,0.01,clean,0,3.677252002607598
42,0.01,clean,0,3.596271531977514
42,0.01,clean,0,3.928048961262091
42,0.01,clean,0,3.7551969846624025
42,0.01,clean,0,4.632769068328966
42,0.01,clean,0,3.6963724305962127
42,0.01,clean,0,3.6865105738147537
42,0.01,clean,0,3.8861997775043178
42,0.01,clean,0,3.628473995797413
42,0.01,clean,0,4.113064961591631
42,0.01,clean,0,4.182913599281693
42,0.01,clean,0,3.8057090185102727
42,0.01,clean,0,3.547474306876855
42,0.01,clean,0,3.8891783836415708
42,0.01,clean,0,3.928814496667794
42,0.01,zz_full,1,5.6201400708811
42,0.01,zz_full,1,6.3271632080917986
42,0.01,zz_full,1,5.704701815568314
42,0.01,zz_full,1,6.201365910582544
42,0.01,zz_full,1,6.366206602633885
42,0.01,zz_full,1,5.90425542372595
42,0.01,zz_full,1,5.313992892743429
42,0.01,zz_full,1,5.813038813693084
42,0.01,zz_full,1,5.90304156685078
42,0.01,zz_full,1,6.448703861718956
42,0.01,zz_full,1,6.1797890726574485
42,0.01,zz_full,1,5.923377913957437
42,0.01,zz_full,1,5.9241931502336325
42,0.01,zz_full,1,5.843039144399158
42,0.01,zz_full,1,6.122051871920377
42,0.01,z_only,1,6.824083812990973
42,0.01,z_only,1,6.889357852749097
42,0.01,z_only,1,6.0651861814205885
42,0.01,z_only,1,6.3459302827013735
42,0.01,z_only,1,6.121009817263678
42,0.01,z_only,1,5.954930685796674
42,0.01,z_only,1,5.888128833953507
42,0.01,z_only,1,6.216168327801742
42,0.01,z_only,1,6.097666019409319
42,0.01,z_only,1,5.868349062533769
42,0.01,z_only,1,6.710248198077636
42,0.01,z_only,1,6.012036723338271
42,0.01,z_only,1,6.2660680348623545
42,0.01,z_only,1,6.636938517976162
42,0.01,z_only,1,6.017142333976287
42,0.02,clean,0,3.825520767908614
42,0.02,clean,0,3.8244570052620785
42,0.02,clean,0,3.955605282772488
42,0.02,clean,0,3.9141560800662547
42,0.02,clean,0,3.630048189300245
