state_id,dataset,model_seed,before_after,a,d,final_ca,lambda_min_true,delta_assumed_routeB,delta_assumption_violated,gamma0_true,n_candidates,oracle_j_star,oracle_pauli_string,oracle_score,oracle_margin
bloodmnist_seed42_before,bloodmnist,42,before,4,16,0.9463090002536774,0.00019825462537543,0.0001,False,6.864029774423415,240,24,IXZI,1.4915301484127972,0.0012888563862809566
bloodmnist_seed42_after,bloodmnist,42,after,4,16,0.9463090002536774,0.0003279444198740189,0.0001,False,6.80894675522922,240,218,ZYXY,1.6166310023182127,0.1744540146843654
bloodmnist_seed43_before,bloodmnist,43,before,4,16,0.9415217041969299,0.000657938389503454,0.0001,False,6.28079910106353,240,220,ZYYI,1.9285378528989607,0.7479996587955391
bloodmnist_seed43_after,bloodmnist,43,after,4,16,0.9415217041969299,0.00019544715977055853,0.0001,False,7.432692577025818,240,227,ZYZZ,1.799551412212516,0.4470035137359223
bloodmnist_seed44_before,bloodmnist,44,before,4,16,0.941068708896637,5.971257108684096e-05,0.0001,True,7.986879554515533,240,65,XIYX,2.5346253862659145,0.3670973098507977
bloodmnist_seed44_after,bloodmnist,44,after,4,16,0.941068708896637,0.000394461556465411,0.0001,False,6.655209115135855,240,46,IZXI,1.6368599621209754,0.26978136239470807
bloodmnist_seed45_before,bloodmnist,45,before,4,16,0.9426578283309937,0.00020572552001137288,0.0001,False,6.861010552812273,240,175,YZXZ,1.4365083769816571,0.1655088798243729
bloodmnist_seed45_after,bloodmnist,45,after,4,16,0.9426578283309937,5.2760632733954955e-05,0.0001,True,7.793383788165081,240,222,ZYYY,1.9516938866797202,0.25903010513989777
bloodmnist_seed46_before,bloodmnist,46,before,4,16,0.9387964606285095,1.170505673371896e-05,0.0001,True,9.02172658586871,240,99,XYYZ,3.517045789134635,0.1404725517020453
bloodmnist_seed46_after,bloodmnist,46,after,4,16,0.9387964606285095,0.00011329674790979537,0.0001,False,7.598939476956158,240,99,XYYZ,1.4884446221607783,0.23764793456294653
mnist_seed42_before,mnist,42,before,2,4,1.0,0.042899551842541246,0.02,False,1.7285380241858255,12,6,YI,0.9659945310669433,0.057089657684898154
mnist_seed42_after,mnist,42,after,2,4,1.0,0.02595727870944971,0.02,False,2.021441653103231,12,5,XZ,1.4313616193514058,0.5989002226568048
mnist_seed43_before,mnist,43,before,2,4,1.0,0.07301201882356982,0.02,False,1.3611236913592928,12,5,XZ,0.6866195672629479,0.17255133042018134
mnist_seed43_after,mnist,43,after,2,4,1.0,0.07827347353230868,0.02,False,1.3354636984166106,12,1,IY,0.6399814797772484,0.10180310282259075
mnist_seed44_before,mnist,44,before,2,4,1.0,0.053246194753154286,0.02,False,1.5263155949029534,12,3,XX,0.5704759094208387,0.07224290220765156
mnist_seed44_after,mnist,44,after,2,4,1.0,0.03046119554417663,0.02,False,1.935499308514053,12,0,IX,0.999623559288446,0.23972884965659258
mnist_seed45_before,mnist,45,before,2,4,1.0,0.06437745741185935,0.02,False,1.1126742743802083,12,11,ZY,0.3166653552700962,0.07522182179135384
mnist_seed45_after,mnist,45,after,2,4,1.0,0.06782237342382863,0.02,False,1.2807106152963506,12,7,YX,0.3361796399884795,0.004071490576504189
mnist_seed46_before,mnist,46,before,2,4,1.0,0.09013547311861521,0.02,False,1.1080977766308977,12,1,IY,0.36379526418606845,0.18002538540353968
mnist_seed46_after,mnist,46,after,2,4,1.0,0.033312716478524636,0.02,False,1.8506289594664616,12,3,XX,1.2031692681643522,0.5694353474467275
mnist_seed47_before,mnist,47,before,2,4,1.0,0.025510148023628016,0.02,False,1.7829706014805211,12,5,XZ,0.5493297155302903,0.00786113617255313
mnist_seed47_after,mnist,47,after,2,4,1.0,0.06021243584300786,0.02,False,1.2684299095022054,12,11,ZY,0.8305702436710772,0.6426416780383314
mnist_seed48_before,mnist,48,before,2,4,1.0,0.08370107631107583,0.02,False,1.3282194216144438,12,5,XZ,0.5245525762880306,0.016513996924953145
mnist_seed48_after,mnist,48,after,2,4,1.0,0.06792411639073445,0.02,False,1.4862536003705415,12,11,ZY,0.8596806566695576,0.31087968480629435
mnist_seed49_before,mnist,49,before,2,4,1.0,0.04684446681398985,0.02,False,1.5500855342907127,12,7,YX,0.8950598424308921,0.42869011815857383
mnist_seed49_after,mnist,49,after,2,4,1.0,0.06303995401912982,0.02,False,1.207716732502342,12,5,XZ,0.5768423930307083,0.25141283743195836
mnist_seed50_before,mnist,50,before,2,4,1.0,0.04168615798556105,0.02,False,1.7875860766867555,12,9,YZ,0.8970605313004717,0.4440607734755494
mnist_seed50_after,mnist,50,after,2,4,1.0,0.08997297854459907,0.02,False,1.2137742805946101,12,9,YZ,0.47275040116732014,0.10233168198995751
mnist_seed51_before,mnist,51,before,2,4,1.0,0.058239666689595446,0.02,False,1.5898857687829195,12,2,XI,0.5456142223199593,0.0773857983151165
mnist_seed51_after,mnist,51,after,2,4,1.0,0.05160651865770346,0.02,False,1.5671258986316483,12,3,XX,0.9989581108760747,0.5570363614709766
bloodmnist_seed47_before,bloodmnist,47,before,4,16,0.9421522915363312,0.00028551704023023543,0.0001,False,7.249268038825695,240,68,XIZI,2.0084203850459765,0.30437226981334486
bloodmnist_seed47_after,bloodmnist,47,after,4,16,0.9421522915363312,0.0004227212340172594,0.0001,False,6.527826349172859,240,236,ZZYY,1.4742924553821295,0.2744601321592093
bloodmnist_seed48_before,bloodmnist,48,before,4,16,0.9692668616771698,2.3821655217787136e-05,0.0001,True,8.670334466177719,240,81,XXYX,1.9167138532373278,0.010761999324973015
bloodmnist_seed48_after,bloodmnist,48,after,4,16,0.9692668616771698,4.6791014699036516e-05,0.0001,True,7.946507352545747,240,93,XYXX,2.1452299556961285,0.33573104875863846
bloodmnist_seed49_before,bloodmnist,49,before,4,16,0.9574201107025146,1.0042179770708116e-05,0.0001,True,9.600069941975105,240,23,IXYZ,3.9493405549762453,1.2101571627105532
bloodmnist_seed49_after,bloodmnist,49,after,4,16,0.9574201107025146,0.00026846790421282174,0.0001,False,6.667962631694176,240,203,ZXXZ,1.3981402289407114,0.3574046291502029
bloodmnist_seed50_before,bloodmnist,50,before,4,16,0.9420997500419617,2.8759608191609068e-05,0.0001,True,8.363546683573368,240,52,IZYY,2.286820197185198,0.15553345022147091
bloodmnist_seed50_after,bloodmnist,50,after,4,16,0.9420997500419617,3.465862174393245e-05,0.0001,True,8.068684497822204,240,95,XYXZ,1.8918420850765034,0.06022819141296076
bloodmnist_seed51_before,bloodmnist,51,before,4,16,0.9469395577907562,5.331473773729069e-05,0.0001,True,8.087903790174952,240,42,IYZY,2.1701547727871473,0.5242484719986154
