seed,n_pilot,k,recovery
42,10000,1,0.00465940180030866
42,10000,2,0.011491828649063719
42,10000,3,0.01733423711029112
42,10000,5,0.03075391472909315
42,10000,10,0.049381736169044246
42,10000,20,0.10019683652101936
42,100000,1,0.008737405125065623
42,100000,2,0.01568775829550894
42,100000,3,0.020645800458910735
42,100000,5,0.027798342509697573
42,100000,10,0.052823561957159315
42,100000,20,0.10590394685213274
42,1000000,1,0.016399399898554406
42,1000000,2,0.02488573627607729
42,1000000,3,0.031827186458972645
42,1000000,5,0.0451735205091979
42,1000000,10,0.0773542380927998
42,1000000,20,0.12448061321978812
43,10000,1,0.003387459584805208
43,10000,2,0.006609825269112762
43,10000,3,0.011625220066235203
43,10000,5,0.022799357998319215
43,10000,10,0.04783279284232457
43,10000,20,0.09958684516544528
43,100000,1,0.006256334100046984
43,100000,2,0.01152692107475901
43,100000,3,0.01615300968737992
43,100000,5,0.026113773452267695
43,100000,10,0.05489996513597648
43,100000,20,0.11608031777860303
43,1000000,1,0.00735765783081827
43,1000000,2,0.016090545712932787
43,1000000,3,0.02076402895328349
43,1000000,5,0.034651751224382694
43,1000000,10,0.06379570348667665
43,1000000,20,0.1092138682098941
44,10000,1,0.004440334856438627
44,10000,2,0.01030178498069439
44,10000,3,0.01476303853301349
44,10000,5,0.027983446796646338
44,10000,10,0.05492756907566434
44,10000,20,0.10146364272638916
44,100000,1,0.004702197449984136
44,100000,2,0.008611303969924078
44,100000,3,0.012446939473818353
44,100000,5,0.021401135776210407
44,100000,10,0.04047659651193889
44,100000,20,0.08552511438844392
44,1000000,1,0.003456320228344051
44,1000000,2,0.008792895482733126
44,1000000,3,0.014403688232126654
44,1000000,5,0.024496685102763777
44,1000000,10,0.04983696943168565
44,1000000,20,0.10038339526284464
45,10000,1,0.004388205386446404
45,10000,2,0.007771569561014963
45,10000,3,0.011415452758173428
45,10000,5,0.020417549966714615
45,10000,10,0.03840308862053187
45,10000,20,0.08516924216545028
45,100000,1,0.005214015331907307
45,100000,2,0.008626692084088639
45,100000,3,0.011684523929749146
45,100000,5,0.01771154401404703
45,100000,10,0.037199153398820635
45,100000,20,0.09242152657870184
45,1000000,1,0.005829307987304216
45,1000000,2,0.011890576138806869
45,1000000,3,0.018680712285848566
45,1000000,5,0.029276046554705788
45,1000000,10,0.05964841089176455
45,1000000,20,0.12814203827284257
46,10000,1,0.009219015851779233
46,10000,2,0.013927539518533576
46,10000,3,0.019850794367078088
46,10000,5,0.02919280103381276
46,10000,10,0.055312887918707275
46,10000,20,0.1107463685658034
46,100000,1,0.006102063879489405
46,100000,2,0.015645471784684506
46,100000,3,0.02233454081729431
46,100000,5,0.03637955353206364
46,100000,10,0.056252092383945594
46,100000,20,0.1114435136297555
46,1000000,1,0.0059501445501636665
46,1000000,2,0.011018871696950084
46,1000000,3,0.016112860504454533
46,1000000,5,0.0318781675989938
46,1000000,10,0.06569798563247589
46,1000000,20,0.13599891343015127
