seed,n_pilot,direct_recovery,shadow_recovery,shots_per_setting_direct
42,100,0.1258137701637345,0.09981235714068656,0
42,500,0.12475647321725077,0.11196353191199056,1
42,2000,0.1161393184237683,0.10329234086342425,7
42,10000,0.17556118293012463,0.17937364539649656,39
42,100000,0.23507149743125283,0.2671498185358849,392
42,1000000,0.4998161751880468,0.6346862208154649,3921
43,100,0.0019227202020974065,0.08288824648026738,0
43,500,0.08328748598855541,0.0954144497596126,1
43,2000,0.1556842693920957,0.15146931863097013,7
43,10000,0.15445007852716514,0.20455163180266597,39
43,100000,0.09470231904993537,0.1345375321323417,392
43,1000000,0.215366931950926,0.23932463868367057,3921
44,100,0.0017874186540128279,0.11591366492799955,0
44,500,0.12853084267044698,0.07999584412537189,1
44,2000,0.05980542144559829,0.14371137238410558,7
44,10000,0.1232146725216001,0.10311525285091534,39
44,100000,0.11403911407395721,0.13207415777694173,392
44,1000000,0.08942904173457338,0.07022303697927602,3921
45,100,1.0,0.08702873563786004,0
45,500,0.12852397462790205,0.11869061815330222,1
45,2000,0.11640278745169312,0.15092821686478247,7
45,10000,0.13168935237814108,0.1488531713057319,39
45,100000,0.13038862967935363,0.10665179638132008,392
45,1000000,0.14232468275836413,0.11868133489535677,3921
46,100,0.07761430131184169,0.1410844585006921,0
46,500,0.0808180358023077,0.158515833611159,1
46,2000,0.09810278548371751,0.18545511604254744,7
46,10000,0.10600094072847159,0.18362915843730393,39
46,100000,0.18455344564209913,0.13001885153688258,392
46,1000000,0.16596443825136534,0.09980227382739934,3921
47,100,0.15542522866907407,0.06440431724769159,0
47,500,0.12036103184646137,0.15526663836583438,1
47,2000,0.22438029262351272,0.07820029818387188,7
47,10000,0.11921125698162822,0.11669096116392633,39
47,100000,0.1787518154548731,0.08393624218438374,392
47,1000000,0.05323401176419407,0.0075670479137361635,3921
48,100,0.11101412301680884,0.13201839987929428,0
48,500,0.12866697637005137,0.19478039993740254,1
48,2000,0.1110966114323835,0.14413920030681487,7
48,10000,0.22037019815959544,0.19655626787520877,39
48,100000,0.19711855446799512,0.26371049935010615,392
48,1000000,0.1695153397106567,0.2102910319348788,3921
49,100,0.10185477043053923,0.1483916729826455,0
49,500,0.0855094556515606,0.15603141292479855,1
49,2000,0.1092419114021355,0.19109596507147456,7
49,10000,0.16505995327531267,0.1248190428916331,39
49,100000,0.16328574165872034,0.17093037994205912,392
49,1000000,0.19869542635401102,0.12410558322583458,3921
50,100,0.04325578374282426,0.20150783027964528,0
50,500,0.17043064458938587,0.24999666324235797,1
50,2000,0.25991832469539833,0.2566778790940308,7
50,10000,0.12074084391425806,0.3558578288400791,39
50,100000,0.19051470606923632,0.17239003270726533,392
50,1000000,0.19352808537891641,0.3626558360193377,3921
51,100,0.008003565084081971,0.1394790100963834,0
51,500,0.07172828410792734,0.09952706567303937,1
51,2000,0.10177479146116704,0.11998278955008124,7
51,10000,0.11919210652707264,0.2140671525640394,39
51,100000,0.15800686705022088,0.2705279801102536,392
51,1000000,0.2988772532835146,0.25715684366404645,3921
